"COMPANY_NAME"	"IS_DEALER"	"ACCOUNT_CODE"	"POSTAL_ADDRESS"	"STATEMENT_EMAIL"	"STATEMENT_FAX"	"STATEMENT_DELIVERY"	"COMMISSION"	"DAYS_TO_PAY"	"M_CURRENCY"	"LAST_CLOSE_BALANCE"	"LAST_CLOSE_CURRENCY"	"LAST_CLOSE_MONTH"	"COMMISSION_BUDGETLINER"	"COMMISSION_SLEEPLINER"	"CONTROLLER"	"COUNTRY"	"EXPORT_DEBTORS"	"IS_CURRENT"	"VAT_NUMBER"	"DEBTOR_TYPE"	"BILLING_PERIOD"	"STATEMENT_DETAILS"	"ACC_CONTACT_PERSON"	"DATE_CREATED"	"RELATED_PARTY"	"LAST_UPDATED"	"LAST_SYNC"	"SAGE_SITE"	"CC_ACCOUNT_NO"	"COMMISSION_BAGGAGE"	"INV_CUTOFF"	"TERMS"	"CREDIT_LIMIT"	"PAYMENT_DATE"	"CUTOFF_DAY"	"PAYMENT_DAY"	"NORMAL_LIMIT_APPROVED_BY"	"SPECIAL_CREDIT_LIMIT"	"SPECIAL_LIMIT_APPROVED_BY"	"SPECIAL_LIMIT_EXPIRY_DATE"	"SHOPPING_BASKET_RESTRICTION"	"STATEMENT_REMINDER"
"I Tours"	"N"	"I001"	"PO Box 5208
Rivonia
2128"	"ian@i-tours.co.za"	""	"E"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	18/APR/12	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Mostert Broers t/a POP IN MULTISAVE"	"Y"	"1681"	"Posbus 626
Springbok
8240"	"popin@kingsley.co.za"	"086 5414557"	"E"	10	7	"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	"4880248317"	"B"	"W"	"Y"	""	21/JUL/12	"N"	02/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"KAN001"	"Y"	"KAN001"	""	""	""	""			"S.A. Rand"		""				"A"	"S"	"Y"	"Y"	""	"C"	"M"	"N"	""	03/MAY/12	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Europcar - JHB"	"N"	"EU"	"PO Box 1641
Bruma
2026"	"ecsncc@Europcar.co.za "	"0114536889"	"E"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	16/APR/12	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"UCT Ballroom & Latin Dancing"	"N"	"UCT002"	""	"meg.hugz@gmail.com"	""	"E"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	09/MAY/12	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Aklims Pty LTD Time Travel Tours"	"Y"	"1686"	"Corner 7 Avenue and Klipfontein Rd, Athlone"	"naeema@timetraveltours.co.za"	"0862981891"	"E"	10		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"N"	""	"B"	"W"	"N"	""	22/JUN/12	"N"	01/OCT/14		""	""	20	""			""				0			"N"	"Y"
"Cargo Carriers LTD"	"Y"	"1665"	"P.O Box 36514
Chempet
7442

39 Marconi Rd
Montaque Gardens"	"amy@cargocarriers.co.za"	"0215511996"	"E"	10	7	"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	"4020163426"	"B"	"W"	"Y"	""	07/OCT/11	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Protours Coach Charter"	"N"	"PCC001"	"PO Box 14400
Lyttelton
0140"	"gailf@protours.co.za,elizabeths@protours.co.za"	"012 6645317"	"E"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	"VAT exempt"	"C"	"W"	"N"	""	27/OCT/11	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Border Bulldogs"	"N"	"BRU001"	"Buffalo City Stadium
Recreation Road
Arcadia
East London 
5201 
"	"marketing@borderbulldogs.co.za,development@borderbuldogs.co.za"	"0437434636"	"E"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	19/OCT/11	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Valke Rugy"	"N"	"VR0001"	"CR SWART DRIVE
BARNARD STADIUM
KEMPTONPARK
1625"	"sharon@valke.co.za"	"011 975 2790"	"E"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	"4520178650"	"C"	"W"	"N"	""	20/OCT/11	"N"	18/JAN/17	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Crazy Store"	"N"	"CRA001"	"A division of Melbro Retail (Pty) Ltd
P O Box 36
Eppindust
7475"	"tdutoit@crazystore.co.za"	"0866867489"	"E"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	"4820158964"	"C"	"W"	"N"	""	19/OCT/11	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Familia Christi Brackenfell"	"N"	"FAM001"	""	""	""	"E"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	19/OCT/11	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Western Province Primary Sch"	"N"	"WPS001"	""	"steynor@wetpups.org.za"	""	"E"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	24/OCT/11	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"OLD MUTUAL"	"N"	"OLD001"	""	"LDlamini@oldmutual.com"	"086 652 5128"	"E"	0		"S.A. Rand"		""		0	0	"B"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	02/NOV/11	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"JARAT TOURS"	"N"	"JAR001"	""	"linda@jarattours.co.za"	"021  431 5226"	"E"	0		"S.A. Rand"		""		0	0	"B"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	10/NOV/11	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"SHORTSTAY"	"N"	"SHO001"	"PO BOX 5
INNOVATION HUB
0087"	"shortstay@mweb.co.za"	"012 662 2595"	"E"	0		"S.A. Rand"		""		0	0	"B"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	14/NOV/11	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Ruby Steenkamp"	"N"	"RS0001"	""	"ruby@rubysteenkamp.co.za"	"0865121873"	"E"	0		"S.A. Rand"		""		0	0	"B"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	14/NOV/11	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"JG Alberts ta Stans Take Aways"	"Y"	"1672"	"P.O Box 756 
Mtentweni
4235"	"lalberts.i@telkomsa.net"	"039 6823257"	"E"	10	7	"S.A. Rand"		""		0	0	"B"	"S"	"Y"	"Y"	""	"B"	"W"	"Y"	""	27/FEB/12	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Kuoni Private Safaris"	"N"	"KUO001"	"PO BOX 350 
CENTURY CITY
7446

Direct line 021 528 2200"	"Carla.hopkins@privatesafaris.com"	"021 528 2299"	"E"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	"4110203769"	"C"	"M"	"N"	"Carla Hopkins"	14/DEC/11	"N"	19/OCT/16	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Fairfield Tours"	"N"	"FT0001"	"P O Box 1123
Parow
7499
South Africa"	"peter@fairfieldtours.com"	"021 936 4654"	"E"	0		"S.A. Rand"		""		0	0	"B"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	18/JAN/12	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Laerskool Wierdapark"	"N"	"WP01"	"256 Willem Botha Laan 
Wierdapark
Centurion
0149 "	"bossie@wierdas.co.za"	"0126571140"	"E"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	08/MAR/12	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"DDW001"	"Y"	"DDW001"	""	""	""	""			"S.A. Rand"		""				"A"	"S"	"Y"	"Y"	""	"C"	"M"	"N"	""	19/APR/12	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Matienah Trading t/a Yizo Cellular"	"Y"	"1683"	"P.O Box 762
Ixop0
3276"	"yizo@futurenet.co.za"	"039 8342181"	"E"	12	7	"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""	30/JUN/12	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Active Communications Europe"	"N"	"ACT001"	"5/3 GREAT SUFFOLLK STREET
LONDON
SE1 0NS"	"swhittle@acieu.net"	"+44(0)20 7593 0071"	"E"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	15/MAY/12	"N"	18/JAN/17	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"BURGER a division of MEDIA24 LIMITED"	"N"	"BUR002"	"Bloemhof building
112 Edward Street
Tyger Valley
Bellville
7530"	"Chrisna.Koegelenberg@media24.com"	"021 910 6509"	"E"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	15/MAY/12	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"DIE JONGERENPROJEK"	"N"	"DIE001"	"5 Estelle street
Alberton
14448"	"krossouw2@gmail.com"	"086 541 4224"	"E"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	17/MAY/12	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Westcol"	"N"	"WES01"	"Westcol: Krugersdorp Campus
Cnr Market & Von Brandis Streets
Krugersdorp
1740"	"michellef@westcol.co.za"	"011-6652724"	"E"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	16/MAY/12	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"PRE001"	"Y"	"PRE001"	""	""	""	""			"S.A. Rand"		""				"A"	"S"	"Y"	"Y"	""	"C"	"M"	"N"	""	04/JUN/12	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"PRETORIA BOYS HIGH SCHOOL"	"Y"	"PRE002"	"MATROOSBERGWEG 84
ASHLEA GARDENS
PRETORIA
0081"	"lhente@yahoo.com"	""	"E"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	14/JUN/12	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Maphutha Secondary School"	"N"	"ZM002"	"Zanele Mchunu 084 288 1462"	"mchunuzp@hotmail.com"	""	"E"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	18/JUN/12	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Standard Bank -Recoveries & Rehab"	"N"	"STA002"	"5 Simmonds Street
Johannesurg
2001"	"Israel.Dichane@standardbank.co.za"	"086 5116808"	"E"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	21/JUN/12	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"BLU002"	"Y"	"BLU002"	""	""	""	"N"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"C"	"M"	"N"	""		"N"	13/MAR/18	13/AUG/19	"IFM01"	""	20	""			""				0			"N"	"Y"
"Blue Cross South Africa"	"N"	"BLU003"	""	"kphelane@telkomsa.net"	""	"E"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	03/JUL/12	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Vanidha Tour & Travel"	"N"	"VTT001"	"PO Box 12947
Mowbray 
7705
"	"ricky@v-t-t.co.za"	"0215349484"	"E"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	04/JUL/12	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Mpumalanga Land Service"	"N"	"LAN005"	"Plaas Elandsfontein Bethal
Po Box 2360
Secunda
2302"	"marjorie@mphs.org.za"	"086 567 5243"	"E"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	04/JUL/12	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Wynberg Boys High School"	"N"	"WBHS01"	"Lovers Walk,Wynberg
"	"peterv@wbhs.org.za"	"0217610959"	"E"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	10/FEB/12	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Blue Star of Hope"	"N"	"BSH001"	"7686 Dante Way
Colorado Springs
Colorado 
80919"	"lightstarmission@yahoo.com"	""	"E"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	10/JUL/12	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"CAP002"	"Y"	"CAP002"	""	""	""	""			"S.A. Rand"		""				"A"	"S"	"Y"	"Y"	""	"C"	"M"	"N"	""		"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"PIE Management"	"Y"	"PIE001"	""	""	""	"N"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	02/AUG/12	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"ELL001"	"Y"	"ELL001"	""	""	""	""			"S.A. Rand"		""				"A"	"S"	"Y"	"Y"	""	"C"	"M"	"N"	""	01/AUG/12	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Highline Tours & Travel"	"N"	"HTL001"	""	"tourop8@highline.co.za"	"012 667 4991"	"E"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"N"	""	"C"	"W"	"N"	""		"N"	01/OCT/14		""	""	20	""			""				0			"N"	"Y"
"Laerskool Oranje Noord"	"N"	"LON001"	"Posbus 393 
Upington
8800
"	"admin.lon@lantic.net"	"0543324288"	"E"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	24/JUL/12	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"University of South Africa"	"N"	"UNI002"	"Po Box 3795
Rustenburg
0300"	"kgomobb@unisa.ac.za"	"086 531 4466"	"E"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	"4360102869"	"C"	"W"	"N"	""	02/AUG/12	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"TIMELESS AFRICA SAFARIS"	"N"	"TIM001"	""	"kirsty@tasafaris.com"	"086 662 8119"	"E"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	15/AUG/12	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Emthanjeni Municipality"	"N"	"EM001"	"Emthanjeni Municipality
P.O. Box 42
De Aar
7000
"	"tmsengana@emthanjeni.co.za"	"053 631 0105"	"E"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	"4150193474"	"C"	"W"	"N"	""	17/AUG/12	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Impact Incentives & Events (Pty) Ltd"	"Y"	"1692"	"P.O Box 4002
Randburg 
2125"	"rehana@impact-incentives.co.za,ernestn@impact-incentives.co.za"	"011 8869701"	"E"	10	7	"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""		"N"	12/MAR/19	13/AUG/19	"IFM01"	""	20	""			""				0			"N"	"Y"
"EDWARD MAROVANYANGA"	"N"	"EDW001"	""	"emarovanyang@agribank.co.zw"	""	"E"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	29/AUG/12	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"G C S Sn. Citizens Group"	"N"	"GSC001"	""	"mapatel36@hotmail.com"	""	"N"	0	7	"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	07/SEP/12	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Albatros travel & safaris"	"N"	"ALB001"	"14th Floor, Triangle House
22 Riebeek Street
Cape Town 
South Africa"	""	"021 424 3192"	"f"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	27/NOV/12	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Platinum Hardware (Pty)LTD t/a Build It"	"Y"	"1698"	"P.O Box 15517
Beacon Bay
East London
5205

TEL 043-740 6053"	"safaribug@hotmail.com "	"043 7405966"	"E"	10	7	"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	"4690222544"	"B"	"W"	"Y"	""	28/SEP/12	"N"	27/OCT/15	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Hungwe Travel (USD)"	"Y"	"1699"	"P.O Box 2134
Harare"	"samaya@hungwetravel.co.zw"	"263 4775288"	"E"	10	7	"US Dollar"		""		0	0	"A"	"I"	"Y"	"Y"	"10002533"	"B"	"W"	"Y"	""	02/MAY/13	"N"	31/JUL/19	13/AUG/19	"ZMZ01"	""	20	""			""				0			"N"	"Y"
"Sarepta Sekonder"	"N"	"SAR001"	""	"marius_moses@yahoo.com"	""	"E"	0	7	"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	26/SEP/12	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Bella Vista Aftree-oord"	"N"	"BVA001"	"P.O Box 966
Bellville"	"lizbe@absamail.co.za"	"0866183712"	"E"	0	7	"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	27/SEP/12	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Triosphere"	"N"	"TRI001"	"39 Amheim Circle
Lonehill
Johannesburg 
2091
"	"tamsyndn@gmail.com"	"086 696 7435 "	"E"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	28/SEP/12	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Rainbow Nation Promotions CC"	"N"	"RAI001"	""	"louwrenspeter@gmail.com"	"021 981 8571"	"E"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	01/OCT/12	"N"	21/AUG/18	13/AUG/19	"IFM01"	""	20	""			""				0			"N"	"Y"
"Airport Express"	"N"	"AE002"	""	"bookings@airportexpress.co.za"	"0866823690"	"N"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"C"	"M"	"N"	"CHANTAL"	01/OCT/12	"N"	18/JAN/17	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"JOURNEEZ"	"N"	"JOU001"	"Postnet Suite 199
Private Bag X1
Melrose Arch 
2076"	"tracy@journeez.com"	"086 531 4798"	"E"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	"4410185716"	"C"	"W"	"N"	""		"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"JOURNEEZ"	"N"	"JOU002"	"Postnet Suite 199
Private Bag X1
Melrose Arch 
2076

"	"tracy@journeez.com"	"086 531 4798"	"N"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	"4410185716"	"C"	"W"	"N"	""	05/OCT/12	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Vaal Maseru Bus Service (Pty) Ltd"	"N"	"VAA001"	"P. O. Box 7958
RUSTENBURG
0300
"	"alex@vaalmaseru.co.za"	"086 572 3507"	"E"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	11/OCT/12	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"FutureCell"	"N"	"MED004"	""	""	"086 730 8908"	"E"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	12/OCT/12	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"ST MARYS ON THE BRAAK"	"Y"	"ST001"	""	"mwsamo@mweb.co.za"	"021 887 6913"	"E"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	15/OCT/12	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Viking Fishing Co. Deep Sea"	"Y"	"1641"	"P.O Box 6030
Roggebaai
8012

South Arm 4
Table Bay Harbour
Cape town
8012
VAT Number:4850162928"	"Lizelle@vikingfishing.co.za "	"021 4196731"	"E"	10	7	"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	"4850162928"	"B"	"W"	"Y"	""	29/AUG/11	"N"	01/JUN/15	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Rennies Travel  Harare"	"Y"	"1645"	"P.O Box 3141
Harare

East Wing
CABS Complex
Northend Close
Northridge Park"	"julie.dickens@zw.hrgworldwide.com"	"263 4852954"	"E"	10	7	"US Dollar"		""		0	0	"A"	"I"	"Y"	"Y"	""	"B"	"W"	"Y"	""	26/JAN/12	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Roamyway TradingCC"	"Y"	"1654"	"P.O Box 2330
Thohoyandou

70 Mphephu Street
Main Road
Thohoyandou"	""	"0866858877"	"N"	10	7	"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	"Not registered"	"B"	"W"	"N"	""	27/SEP/11	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"HWT Rondebosch"	"Y"	"1351"	""	"accounts@intercape.co.za"	""	"E"	12		"S.A. Rand"		""				"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""		"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Harvey World Travel Delevex"	"Y"	"1472"	"P.O. Box 635
Worcester
6849"	"delevex@mtnloaded.co.za"	"023 34 21308"	"E"	12	7	"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""	24/JAN/06	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Glenwood Travel"	"Y"	"0998"	"PO BOX 36058
C/o Lynwood Rd & Glen Louis Botha Ave
Menlow Park
Pretoria
0102
"	"winnie@glenwoodtravel.co.za"	"(012) 348 1257"	"E"	12	7	"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""		"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Bizbeth Trading-Amahlathi Spar"	"Y"	"1661"	"P.O Box 641
Stutterheim
4930

22 Hill Street
Stutterheim"	"greg@imaginet.co.za,jacinda@imaginet.co.za"	"043 6832207"	"E"	10	7	"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	"4860242512"	"B"	"W"	"N"	""	18/OCT/11	"N"	02/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Tshela Filling Station"	"Y"	"1663"	"P.O Box 117906
Universitas
Bloemfontein"	"sbigbravo@gmail.com"	"051 5348273"	"E"	10		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"B"	"W"	"N"	""		"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Michells Travel (W)"	"Y"	"1135"	"PO Box 677
Boksburg
1460
NB! WEEKLY PAYMENTS NB!
 Susan Botes, 021 380 4455 ,debtors@intercape.co.za TEL0119133290"	"lorrainel@michellestravelb.co.za"	"(011) 913 1293"	"E"	10	7	"S.A. Rand"		""		0	0	"B"	"S"	"Y"	"Y"	"4910105008"	"B"	"W"	"N"	""	29/MAR/06	"N"	11/JUL/17	13/AUG/19	"IFM01"	""	20	""			""				0			"N"	"Y"
"Eljosa"	"N"	"ELJ001"	"PO. BOX 1256
Brackenfell
7561"	"johannes@eljosa.co.za,finance@eljosa.co.za,lorraine@eljosa.co.za"	"021 982 7794"	"E"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	19/OCT/11	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"P.S. FOURIE PRIMARY SCHOOL"	"N"	"PSFP01"	"290 ST JOSEPH AVENUE
EERSTERUST
0022"	"psfschool@yahoo.com"	"012 806 7152"	"E"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	19/OCT/11	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"AT & T TRAVEL & TOURS"	"N"	"ATTT01"	"2532 MOSIANE CRESENT
UNIT 1
MMABATHO
2735"	"traveltours@telkomsa.net"	"018 384 0602"	"E"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	19/OCT/11	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"Ann Latsky Nursing College"	"N"	"ANN002"	"1st plankett avenue
hursthill
Auckland park 
2006"	"wpmotse@yahoo.com"	"011 726 2619"	"E"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	07/NOV/11	"N"	18/JAN/17	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"CHARIOTS TRANSPORT"	"N"	"CT003"	"220 Second street
Randjiespark
Midrand
1685"	"nathi.zwane@sbtgroup.co.za"	"086 2600 080"	"E"	0		"S.A. Rand"		""		0	0	"B"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	28/OCT/11	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"HOERSKOOL TUINE"	"N"	"HT0001"	"BERG HAAN LAN 
39 ROOI KRAAL"	""	"012 660 3109"	"E"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	02/NOV/11	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
"LE ROUX TOURS"	"N"	"LRT001"	"PO BOX 83516
DOORNPOORT 
0017"	""	"086 623 0613"	"E"	0		"S.A. Rand"		""		0	0	"A"	"S"	"Y"	"Y"	""	"C"	"W"	"N"	""	03/NOV/11	"N"	01/OCT/14	13/AUG/19	""	""	20	""			""				0			"N"	"Y"
